UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
MT,TANGARA DA SERRA,HOSPITAL MUNICIPAL ARLETE DAISY CICHETTI DE BRITO,2767384,807
SP,SAO PAULO,HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO,2077485,791
SP,MOGI DAS CRUZES,HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO,7473702,777
SP,SAO PAULO,HOSPITAL OSWALDO CRUZ,2076950,769
SP,SAO BERNARDO DO CAMPO,HOSPITAL INTERMEDICA ABC,6938876,758
PE,RECIFE,IMIP,434,757
SE,ARACAJU,HOSPITAL GOVERNADOR JOAO ALVES FILHO,2816210,757
RS,PORTO ALEGRE,HOSPITAL DE CLINICAS,2237601,735
MT,NOVA MUTUM,HOSPITAL MUNICIPAL DE NOVA MUTUM,2398680,733
SP,ITAPECERICA DA SERRA,HOSPITAL GERAL DE ITAPECERICA DA SERRA,2792176,713
ES,SERRA,HOSPITAL ESTADUAL DR JAYME SANTOS NEVES,7257406,712
CE,FORTALEZA,HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2561417,710
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL RONALDO GAZOLLA AP 33,5717256,699
SP,SAO PAULO,HOSPITAL SAO LUIZ JABAQUARA,2089599,698
SP,SAO PAULO,HOSPITAL SAO CAMILO POMPEIA,2688565,662
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL ALBERT SCHWEITZER AP 51,2298120,659
PA,BELEM,HOSPITAL REGIONAL PUBLICO DR ABELARDO SANTOS,9917322,655
PA,BELEM,HOSPITAL PORTO DIAS,2332809,651
SP,CAMPINAS,HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS,2081490,650
SP,SAO BERNARDO DO CAMPO,HOSPITAL E PRONTO SOCORRO CENTRAL,2069776,650
BA,SALVADOR,HOSPITAL SAO RAFAEL,3808,649
CE,FORTALEZA,HOSPITAL DE CAMPANHA COVID 19 HOSP PRESIDENTE VARGAS,104477,647
DF,BRASILIA,HOSPITAL REGIONAL DE CEILANDIA,10480,641
AM,TABATINGA,UPA 24HS TABATINGA,7459750,639
AM,MANAUS,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,2013649,636
SP,SAO PAULO,SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO,2688689,630
CE,JUAZEIRO DO NORTE,HOSPITAL REGIONAL DO CARIRI,6779522,627
MT,NOVA OLIMPIA,UNIDADE MISTA DE SAUDE,2472376,625
SP,SANTOS,SANTA CASA DE SANTOS,2025752,624
SP,SAO PAULO,HOSPITAL VILLA LOBOS,5590450,622
PI,TERESINA,HOSPITAL UNIMED PRIMAVERA,9101993,621
PR,CURITIBA,HOSPITAL DO IDOSO ZILDA ARNS,6388671,620
PE,RECIFE,HOSPITAL OSWALDO CRUZ,477,619
RR,BOA VISTA,HOSPITAL GERAL DE RORAIMA HGR,2319659,618
AL,MACEIO,HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA,2006510,614
SP,SAO PAULO,HOSPITAL IGESP,2084333,598
GO,GOIANIA,HOSPITAL DE ENFRENTAMENTO AO CORONAVIRUS DE GOIANIA,86126,597
SP,SAO PAULO,HOSPITAL NIPO BRASILEIRO,2089777,596
BA,SALVADOR,HOSPITAL SANTA ISABEL,3832,589
SP,SAO PAULO,SAO LUIZ UNIDADE MORUMBI,3824802,589
SP,SAO PAULO,HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA,2081970,585
SP,SAO JOSE DO RIO PRETO,SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO,2798298,576
SP,SAO PAULO,HOSP MUN DR CARMINO CARICCHIO,2080346,573
SP,SAO PAULO,HOSPITAL SIRIO LIBANES,2079127,572
PR,CURITIBA,COMPLEXO HOSPITAL DE CLINICAS,2384299,559
SP,SAO PAULO,HOSPITAL DO CORACAO,2081288,558
MA,SAO LUIS,HOSPITAL SAO DOMINGOS,2308665,556
SP,BARUERI,VIGILANCIA EPIDEMIOLOGICA,3005453,556
PR,CURITIBA,COMPLEXO HOSPITALAR DO TRABALHADOR,15369,547
PE,RECIFE,HOSPITAL DE CAMPANHA DO RECIFE HPR II COELHOS,101842,545
SP,SAO PAULO,HOSP MUN TIDE SETUBAL,2080583,537
SP,SAO PAULO,HOSPITAL GERAL DE PEDREIRA,2066092,537
PE,RECIFE,HOSPITAL AGAMENON MAGALHAES,418,534
RO,PORTO VELHO,CEMETRON PORTO VELHO,2493853,531
SP,SAO PAULO,HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL,2077426,529
PR,CURITIBA,HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE,15245,525
SP,SAO PAULO,HOSPITAL ALVORADA MOEMA,2089238,525
BA,SALVADOR,HOSPITAL GERAL ERNESTO SIMOES FILHO,4073,518
RJ,MACAE,PRONTO SOCORRO MUNICIPAL,2276542,517
PB,CAMPINA GRANDE,HOSPITAL MUNICIPAL PEDRO I COVID 19,2363070,514
SP,SAO PAULO,HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO,2091755,514
SP,SAO PAULO,UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP,2077523,513
MA,IMPERATRIZ,HOSPITAL MACRORREGIONAL DRA RUTH NOLETO,9065768,509
SP,SOROCABA,UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA,7299532,504
PE,RECIFE,SECRETARIA DE SAUDE DO ESTADO DE PERNAMBUCO,6471188,502
SP,PIRACICABA,HOSPITAL REGIONAL DE PIRACICABA,9425802,495
RJ,VOLTA REDONDA,SECRETARIA MUNICIPAL DE SAUDE DE VOLTA REDONDA,6086381,492
SP,SAO PAULO,CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO,2077574,491
BA,SALVADOR,HOSPITAL DO SUBURBIO,6595197,483
RJ,ANGRA DOS REIS,HOSPITAL E MATERNIDADE CODRATO DE VILHENA,2280868,483
DF,BRASILIA,HRSM,5717515,481
CE,QUIXERAMOBIM,HOSPITAL REGIONAL DO SERTAO CENTRAL,7061021,476
SP,SAO JOSE DOS CAMPOS,HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE,9628,475
SP,GUARULHOS,HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO,2080338,474
PA,MARABA,HOSPITAL MUNICIPAL DE MARABA,2615797,473
RN,NATAL,HOSPITAL DE CAMPANHA COVID 19 SMS NATAL RN,104515,471
PE,RECIFE,HOSPITAL DOS SERVIDORES DO ESTADO PERNAMBUCO HSE,2711923,470
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL ROCHA FARIA AP 52,2295407,470
SP,SAO PAULO,HOSPITAL LEFORTE LIBERDADE,2077507,468
RS,PASSO FUNDO,HOSPITAL SAO VICENTE DE PAULO,2246988,457
SP,OSASCO,HOSPITAL CRUZEIRO DO SUL,2079887,454
GO,APARECIDA DE GOIANIA,HOSPITAL GARAVELO,2589737,450
BA,SALVADOR,HOSPITAL PORTUGUES,4251,448
MA,SAO LUIS,HOSPITAL DE REF EST DE ALTA COMPLEXIDADE DR CARLOS MACIEIRA,2464594,448
SP,SAO PAULO,HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO,2077620,443
SP,SANTOS,HOSPITAL ANA COSTA DE SANTOS,2025760,442
AM,MANAUS,HOSPITAL E PRONTO SOCORRO DR ARISTOTELES PLATAO B DE ARAUJO,5169976,438
AM,MANAUS,HOSPITAL DE CAMPANHA COVID 19 GILBERTO NOVAES,110167,437
MG,IPATINGA,HOSPITAL MARCIO CUNHA,2205440,437
SP,SAO PAULO,HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO,2688573,437
SP,SAO PAULO,HOSPITAL VITORIA,6668143,436
CE,FORTALEZA,HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2479214,435
PE,RECIFE,US 141 SECRETARIA MUNICIPAL DE SAUDE DO RECIFE,6468918,433
SP,SAO PAULO,HOSPITAL SAMARITANO PAULISTA,9684948,433
ES,VITORIA,HOSPITAL UNIMED VITORIA HU,3167895,432
SP,RIBEIRAO PRETO,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,2082187,432
SP,SAO PAULO,HOSP MUN CARMEN PRUDENTE,5420938,432
RJ,RIO DE JANEIRO,HOSPITAL CENTRAL DA POLICIA MILITAR DO ESTADO DO RIO DE JANE,2273438,430
SP,SAO PAULO,SAO LUIZ UNIDADE ITAIM,2688611,430
SP,SAO PAULO,HOSP MUN VER JOSE STOROPOLLI,3212130,429
SP,SAO PAULO,INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO,2028840,427
CE,FORTALEZA,IJF INSTITUTO DR JOSE FROTA CENTRAL,2529149,424
RJ,RIO DE JANEIRO,HOSPITAL COPA DOR,3005992,423
PA,BELEM,HOSPITAL ADVENTISTA DE BELEM,3656969,421
SP,SAO PAULO,HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL,2078589,416
MG,BELO HORIZONTE,HOSPITAL UNIMED UNIDADE CONTORNO,6437745,412
SP,ITAPEVI,PRONTO SOCORRO MUNICIPAL,6048110,411
SP,SAO PAULO,HOSP MUN PROF DR WALDOMIRO DE PAULA,2077639,408
RS,PORTO ALEGRE,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE,2237253,407
PI,TERESINA,PRONTOMED ADULTO,2819899,406
SP,SAO PAULO,HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU,102040,406
PA,BELEM,SESMA,5402875,405
RJ,DUQUE DE CAXIAS,UPA PARQUE BEIRA MAR,7625987,403
MG,GOVERNADOR VALADARES,HOSPITAL MUNICIPAL,2222043,402
PR,LONDRINA,HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA,2781859,399
RJ,RIO DE JANEIRO,SESDEC RJ HOSPITAL ESTADUAL GETULIO VARGAS,2270234,398
SP,CAMPINAS,HOSPITAL E MATERNIDADE CELSO PIERRO,2082128,393
MG,BELO HORIZONTE,SANTA CASA DE BELO HORIZONTE,27014,391
PI,PARNAIBA,HOSPITAL ESTADUAL DIRCEU ARCOVERDE,8015899,388
SP,DIADEMA,HOSPITAL MUNICIPAL DE DIADEMA HMD,2080028,383
DF,BRASILIA,HOSPITAL ANCHIETA,3030121,382
RJ,RIO DE JANEIRO,SMS HOSPITAL MUNICIPAL PEDRO II AP 53,6995462,382
DF,BRASILIA,HOSPITAL SANTA LUCIA,2815966,380
SP,BARRETOS,FUNDACAO PIO XII BARRETOS,2090236,379
SP,CAMPINAS,HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS,2079798,378
MT,SAPEZAL,HOSPITAL SANTA MARCELINA DE SAPEZAL,9659366,377
PE,RECIFE,US 444 HOSPITAL DA MULHER DO RECIFE DRA MERCES PONTES CUNHA,7958838,377
DF,BRASILIA,HOSPITAL SANTA LUZIA,3005402,376
RJ,RIO DE JANEIRO,SES RJ HOSPITAL ESTADUAL CARLOS CHAGAS,2273411,376
SP,SAO PAULO,HOSPITAL SAO CAMILO SANTANA,3039420,375
SP,SAO PAULO,HOSPITAL SEPACO,2089602,375
SP,COTIA,HOSPITAL REGIONAL DE COTIA,2792141,374
SC,ITAJAI,SECRETARIA MUNICIPAL DE SAUDE DE ITAJAI,6539858,373
SP,SAO PAULO,HOSP AVICCENA,2078481,373
SP,SAO PAULO,HOSP DO SERV PUB MUNICIPAL HSPM,2752077,371
SP,RIBEIRAO PRETO,HOSPITAL SAO FRANCISCO RIBEIRAO PRETO,2079275,369
SP,MOGI DAS CRUZES,HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES,2080680,365
DF,BRASILIA,HOSPITAL SANTA HELENA,3019608,362
AC,RIO BRANCO,UPA 24 HORAS DO 2 DISTRITO,6439837,361
MT,CAMPO NOVO DO PARECIS,CENTRO HOSPITALAR PARECIS EUCLIDES HORST CAMPO NOVO,2655802,361
CE,FORTALEZA,HOSPITAL OTOCLINICA,3001113,360
CE,FORTALEZA,HOSPITAL CURA DARS,2611686,359
SP,SAO PAULO,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA,127868,358
DF,BRASILIA,HOSPITAL SANTA MARTA,2649497,357
DF,BRASILIA,HRT HOSPITAL REGIONAL DE TAGUATINGA,10499,355
SP,GUARULHOS,HOSPITAL CARLOS CHAGAS,2081628,354
RJ,NITEROI,HOSPITAL ICARAI,6734014,353
SC,CRICIUMA,HOSPITAL UNIMED CRICIUMA,5712068,352
SP,SOROCABA,HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO,2708566,352
RJ,RIO DE JANEIRO,HOSPITAL DE CAMPANHA COVID 19 LEBLON,117234,350
SP,SAO PAULO,HOSPITAL BOSQUE DA SAUDE,3309959,350
PE,RECIFE,HOSPITAL GETULIO VARGAS,2802783,348
SP,GUARULHOS,COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS,2079410,348
SP,GUARULHOS,HOSP MUNICIPAL DE URGENCIAS HMU,2082861,348
SP,SAO PAULO,HOSP MUN DR IGNACIO PROENCA DE GOUVEA,2084473,348
BA,SALVADOR,HOSPITAL ESPANHOL,106526,347
SP,SAO BERNARDO DO CAMPO,HOSPITAL SAO BERNARDO S A,3047822,347
CE,FORTALEZA,HOSPITAL UNICLINIC,3047091,346
RS,PORTO ALEGRE,HOSPITAL MOINHOS DE VENTO,3006522,346
MT,CUIABA,HOSPITAL SANTA ROSA,2604388,345
SP,SAO PAULO,HOSP 9 DE JULHO,2079089,345
SP,SAO PAULO,HOSPITAL DA LUZ 113,3367371,345
SP,SAO PAULO,HOSPITAL SAMARITANO,2080818,344
CE,SOBRAL,SANTA CASA DE MISERICORDIA DE SOBRAL,3021114,343
PB,JOAO PESSOA,HOSPITAL UNIMED JOAO PESSOA,3056724,342
SP,ITAQUAQUECETUBA,HOSPITAL GERAL DE ITAQUAQUECETUBA,2078562,339
SP,OSASCO,HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO,8052,338
SP,PRESIDENTE PRUDENTE,SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT,2080532,338
SP,SAO PAULO,HOSPITAL E MATERNIDADE METROPOLITANO,2078082,337
RN,NATAL,HOSPITAL MUNICIPAL DE NATAL,3708926,336
GO,APARECIDA DE GOIANIA,HOSPITAL MUNICIPAL DE APARECIDA DE GOIANIA HMAP,9680977,335
BA,SALVADOR,HOSPITAL ALIANCA,2389746,332
SP,SAO JOSE DO RIO PRETO,HOSPITAL INFANTE D HENRIQUE,2097613,331
AM,MANAUS,HOSPITAL P S DR JOAO LUCIO P MACHADO,2019574,330
RJ,RIO DE JANEIRO,UERJ HOSPITAL UNIV PEDRO ERNESTO,2269783,328
RN,MOSSORO,HOSPITAL SAO LUIZ LTDA,9119701,328
CE,FORTALEZA,HOSPITAL ANTONIO PRUDENTE,2415631,327
RS,BENTO GONCALVES,HOSPITAL TACCHINI,2241021,325
MG,BELO HORIZONTE,HOSPITAL METROPOLITANO DOUTOR CELIO DE CASTRO HMDCC,7866801,323
RJ,RIO DE JANEIRO,SMS COORD DE EMERG REGIONAL CER ILHA DO GOV AP 31,7107366,323
SP,CATANDUVA,HOSP ESCOLA EMILIO CARLOS CATANDUVA,2089335,321
SP,CAMPINAS,CENTRO MEDICO DE CAMPINAS,2079666,320
DF,BRASILIA,HOSPITAL MARIA AUXILIADORA,3013162,318
PE,RECIFE,HOSPITAL DA RESTAURACAO,655,318
SE,ARACAJU,HOSPITAL MUNICIPAL ZONA NORTE DR NESTOR PIVA,3841375,316
PB,CAMPINA GRANDE,HOSPITAL REGIONAL DE EMERG TRAUMA DOM LUIZ GONZAGA FERNANDES,2362856,315
SP,CAMPINAS,COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI,6053858,314
SP,RIBEIRAO PRETO,SANTA CASA DE RIBEIRAO PRETO,2084414,313
SP,SAO PAULO,HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO,2091585,311
BA,SALVADOR,HOSPITAL TEREZA DE LISIEUX,6558143,309
MG,BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO BARREIRO,22683,309
SP,RIBEIRAO PRETO,HOSPITAL IMACULADA CONCEICAO RIBEIRAO PRETO,2080400,308
SP,VOTUPORANGA,SANTA CASA DE VOTUPORANGA,2081377,308
BA,JEQUIE,HOSPITAL GERAL PRADO VALADARES,2400693,307
PI,TERESINA,UNIDADE DE PRONTO ATENDIMENTO 24 HORAS UPA RENASCENCA,7823169,305
RJ,RIO DE JANEIRO,UNIMED RIO HOSPITAL BARRA DA TIJUCA,7251491,304
RS,NOVO HAMBURGO,FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH,2232146,303
BA,SALVADOR,HOSPITAL DA BAHIA,3827992,302
PI,TERESINA,UNIDADE DE SAUDE BUENOS AIRES,2679647,302
RJ,NOVA IGUACU,HGNI,2798662,302
RJ,RIO DE JANEIRO,SMS COORD DE EMERGENCIA REGIONAL CER BARRA AP 40,6716938,302
PR,CURITIBA,HOSPITAL ONIX,2361167,301
PR,CURITIBA,HOSPITAL SANTA CASA DE CURITIBA,15334,301
CE,FORTALEZA,HGCC HOSPITAL GERAL DR CESAR CALS,2499363,298
PE,CARUARU,SECRETARIA MUNICIPAL DE SAUDE DE CARUARU,6451357,298
RJ,RIO DE JANEIRO,HOSPITAL EVANGELICO,2273519,298
RO,PORTO VELHO,HOSPITAL DE BASE PORTO VELHO,4001303,298
AL,ARAPIRACA,UNIDADE DE EMERGENCIA DR DANIEL HOULY,3015408,297
MT,NOSSA SENHORA DO LIVRAMENTO,HOSPITAL E MATERNIDADE MUN PROFESSORA MARIA ARLINDA DA COSTA,4069870,297
PB,JOAO PESSOA,HOSPITAL EDSON RAMALHO,2400324,297
PE,RECIFE,HOSPITAL DE BOA VIAGEM,2819279,295
RN,NATAL,HOSPITAL GISELDA TRIGUEIRO,4013484,293
SP,GUARULHOS,COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I,6625649,293
SP,RIBEIRAO PRETO,HOSPITAL UNIMED RIBEIRAO PRETO,7965192,293
SP,ARACATUBA,SANTA CASA DE ARACATUBA HOSPITAL SAGRADO CORACAO DE JESUS,2078775,292
DF,BRASILIA,HRSAM HOSPITAL REGIONAL DE SAMAMBAIA,2672197,291
RJ,RIO DE JANEIRO,INI FIOCRUZ,2288338,290
SP,SAO PAULO,HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO,2079240,289
SP,SAO PAULO,HOSPITAL NEXT BUTANTA,2089653,289
SC,JOINVILLE,HOSPITAL MUNICIPAL SAO JOSE,2436469,288
PB,JOAO PESSOA,COMPLEXO DE DOENCAS INFECTO CONTAGIOSAS CLEMENTINO FRAGA,2399717,286
PR,CURITIBA,HOSPITAL MARCELINO CHAMPAGNAT,6878318,283
SP,SAO PAULO,HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP,2077671,283
AM,MANAUS,HOSPITAL ADVENTISTA DE MANAUS,2017245,282
CE,FORTALEZA,SERVICO DE VERIFICACAO DE OBITO SVO SESA,6613586,282
SP,SAO PAULO,HOSP SAO LUIZ ANALIA FRANCO,5907594,282
RJ,MACAE,HOSPITAL PUBLICO MUNICIPAL DE MACAE HPM,5412447,280
SP,CAMPINAS,REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA,2078465,279
SP,TABOAO DA SERRA,UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA,2785188,279
SP,JUNDIAI,HOSPITAL PITANGUEIRAS,2078767,278
SP,SAO PAULO,HOSP MUN JOSANIAS CASTANHA BRAGA,9465464,278
SP,GUARULHOS,HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA,5200105,276
SP,SAO PAULO,HOSPITAL PAULISTANO,2084376,275
RS,PORTO ALEGRE,HOSPITAL SAO LUCAS DA PUCRS,2262568,274
DF,BRASILIA,HRG,10472,272
PE,RECIFE,HOSPITAL DE CAMPANHA DO RECIFE HPR I AURORA,101826,272
RJ,NITEROI,NITEROI DOR,3594432,272
SE,ARACAJU,SECRETARIA DE ESTADO DA SAUDE SEDE,5589711,272
SP,OSASCO,HOSPITAL MUNICIPAL ANTONIO GIGLIO,8028,270
DF,BRASILIA,HOSPITAL BRASILIA,3048551,268
PI,TERESINA,HOSPITAL GETULIO VARGAS,2726971,268
RJ,ITABORAI,HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ,2268922,268
PE,RECIFE,US 167 POLICLINICA E MATERNIDADE PROFESSOR BARROS LIMA,20516,267
PI,TERESINA,HOSPITAL DE CAMPANHA COVID 19 PADRE PEDRO BALZI,130753,267
MG,BETIM,UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO,2126451,265
SP,SAO PAULO,HOSP MAT VIDAS,3045625,265
SP,SAO PAULO,HOSPITAL SANTA CLARA,7676484,265
SC,SAO JOSE,HOSPITAL REGIONAL DE SAO JOSE DRHOMERO MIRANDA GOMES,2555646,264
MA,SAO LUIS,SECRETARIA MUNICIPAL DE SAUDE,6482783,263
SE,ARACAJU,HOSPITAL SAO LUCAS,2585,262
SE,ARACAJU,REDE PRIMAVERA HOSPITAL PRIMAVERA,6003494,262
SP,SAO PAULO,CENTRO MEDICO PMESP,3464555,262
SP,SAO PAULO,HOSP EDMUNDO VASCONCELOS,2089610,262
GO,GOIANIA,HOSPITAL E MATERNIDADE MUNICIPAL CELIA CAMARA,24074,261
PE,RECIFE,HOSPITAL ILHA DO LEITE,9109897,261
SP,SAO JOSE DO RIO PRETO,HOSPITAL AUSTA SAO JOSE DO RIO PRETO,2097117,260
RO,PORTO VELHO,HOSPITAL JOAO PAULO II PORTO VELHO,2493888,259
SP,SAO PAULO,HOSP MUN DR BENEDICTO MONTENEGRO,2084139,259
SP,SAO PAULO,HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35,113123,259
PE,RECIFE,HOSPITAL DE CAMPANHA DO RECIFE HPR IV AMAURY COUTINHO,604,258
PR,CURITIBA,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA,15423,257
RS,PASSO FUNDO,HOSPITAL DE CLINICAS DE PASSO FUNDO,2246929,256
RS,PORTO ALEGRE,HOSPITAL MAE DE DEUS,3007847,256
SP,MOGI DAS CRUZES,HOSPITAL IPIRANGA DE MOGI DAS CRUZES,2784882,255
SC,BALNEARIO CAMBORIU,HOSPITAL UNIMED LITORAL,3718395,254
SP,SAO PAULO,UPA PIRITUBA,6146341,254
RJ,RIO DE JANEIRO,HOSPITAL DE CAMPANHA COVID 19 PARQUE DOS ATLETAS,136069,253
RJ,RIO DE JANEIRO,SMS RIO HOSPITAL MUNICIPAL SALGADO FILHO,2296306,253
MG,POUSO ALEGRE,HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE,2127989,252
RJ,RIO DE JANEIRO,HOSPITAL MUNICIPAL SOUZA AGUIAR,2280183,252
SP,GUARULHOS,HOSPITAL DE CAMPANHA COVID 19 CENTRO DE COMBATE AO CORONA,102172,252
RJ,RIO DE JANEIRO,MS HOSPITAL FEDERAL CARDOSO FONTES,2295423,251
SP,PIRACICABA,HOSPITAL UNIMED PIRACICABA,2080699,251
MT,CUIABA,HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA,2495015,250
SE,ARACAJU,HOSPITAL DE CIRURGIA,2283,250
DF,BRASILIA,HFA,10561,249
PA,PARAUAPEBAS,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES,2615746,249
SP,CAMPINAS,HOSPITAL SAMARITANO DE CAMPINAS,2023148,249
SP,RIBEIRAO PRETO,HOSPITAL SAO LUCAS RIBEIRANIA,5171946,249
SP,SAO PAULO,HOSP STA CRUZ,2082624,248
GO,AGUAS LINDAS DE GOIAS,HOSPITAL DE CAMPANHA PARA COVID 19 DE AGUAS LINDAS DE GOIAS,157619,247
PI,TERESINA,UNIDADE DE URGENCIA DE TERESINA PROF ZENON ROCHA HUT,5828856,247
RJ,NITEROI,HOSPITAL MUNICIPAL CARLOS TORTELLY,12513,247
RJ,RIO DE JANEIRO,HOSPITAL VITORIA AMC,7642423,247
SP,SAO PAULO,HOSPITAL LEFORTE,6283993,247
CE,SOBRAL,HOSPITAL DR FRANCISCO ALVES,100358,246
MG,BELO HORIZONTE,UNIDADE DE PRONTO ATENDIMENTO NOROESTE II HOB,9068279,246
SC,CHAPECO,HOSPITAL REGIONAL DO OESTE,2537788,245
