UF;Municipio;Unidade;Notificações
PR;CAMPO LARGO;HOSPITAL DO ROCIO; 867
MS;CAMPO GRANDE;HOSPITAL REGIONAL DE MATO GROSSO DO SUL; 864
PB;SANTA RITA;HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES; 846
SP;SAO PAULO;UPA III NOVA CAMPO LIMPO; 840
SP;JUNDIAI;HCSVP HOSPITAL SAO VICENTE HOSPITAL DE CAMPANHA COVID 19; 826
RJ;RIO DE JANEIRO;HOSPITAL QUINTA DOR; 812
RS;PORTO ALEGRE;HOSPITAL NOSSA SENHORA DA CONCEICAO SA; 811
MT;TANGARA DA SERRA;HOSPITAL MUNICIPAL ARLETE DAISY CICHETTI DE BRITO; 807
SP;SAO PAULO;HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO; 791
SP;MOGI DAS CRUZES;HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO; 777
SP;SAO PAULO;HOSPITAL OSWALDO CRUZ; 769
SP;SAO BERNARDO DO CAMPO;HOSPITAL INTERMEDICA ABC; 758
PE;RECIFE;IMIP; 757
SE;ARACAJU;HOSPITAL GOVERNADOR JOAO ALVES FILHO; 757
RS;PORTO ALEGRE;HOSPITAL DE CLINICAS; 735
MT;NOVA MUTUM;HOSPITAL MUNICIPAL DE NOVA MUTUM; 733
SP;ITAPECERICA DA SERRA;HOSPITAL GERAL DE ITAPECERICA DA SERRA; 713
ES;SERRA;HOSPITAL ESTADUAL DR JAYME SANTOS NEVES; 712
CE;FORTALEZA;HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS; 710
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL RONALDO GAZOLLA AP 33; 699
SP;SAO PAULO;HOSPITAL SAO LUIZ JABAQUARA; 698
SP;SAO PAULO;HOSPITAL SAO CAMILO POMPEIA; 662
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL ALBERT SCHWEITZER AP 51; 659
PA;BELEM;HOSPITAL REGIONAL PUBLICO DR ABELARDO SANTOS; 655
PA;BELEM;HOSPITAL PORTO DIAS; 651
SP;CAMPINAS;HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS; 650
SP;SAO BERNARDO DO CAMPO;HOSPITAL E PRONTO SOCORRO CENTRAL; 650
BA;SALVADOR;HOSPITAL SAO RAFAEL; 649
CE;FORTALEZA;HOSPITAL DE CAMPANHA COVID 19 HOSP PRESIDENTE VARGAS; 647
DF;BRASILIA;HOSPITAL REGIONAL DE CEILANDIA; 641
AM;TABATINGA;UPA 24HS TABATINGA; 639
AM;MANAUS;HOSPITAL PRONTO SOCORRO 28 DE AGOSTO; 636
SP;SAO PAULO;SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO; 630
CE;JUAZEIRO DO NORTE;HOSPITAL REGIONAL DO CARIRI; 627
MT;NOVA OLIMPIA;UNIDADE MISTA DE SAUDE; 625
SP;SANTOS;SANTA CASA DE SANTOS; 624
SP;SAO PAULO;HOSPITAL VILLA LOBOS; 622
PI;TERESINA;HOSPITAL UNIMED PRIMAVERA; 621
PR;CURITIBA;HOSPITAL DO IDOSO ZILDA ARNS; 620
PE;RECIFE;HOSPITAL OSWALDO CRUZ; 619
RR;BOA VISTA;HOSPITAL GERAL DE RORAIMA HGR; 618
AL;MACEIO;HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA; 614
SP;SAO PAULO;HOSPITAL IGESP; 598
GO;GOIANIA;HOSPITAL DE ENFRENTAMENTO AO CORONAVIRUS DE GOIANIA; 597
SP;SAO PAULO;HOSPITAL NIPO BRASILEIRO; 596
BA;SALVADOR;HOSPITAL SANTA ISABEL; 589
SP;SAO PAULO;SAO LUIZ UNIDADE MORUMBI; 589
SP;SAO PAULO;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA; 585
SP;SAO JOSE DO RIO PRETO;SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO; 576
SP;SAO PAULO;HOSP MUN DR CARMINO CARICCHIO; 573
SP;SAO PAULO;HOSPITAL SIRIO LIBANES; 572
PR;CURITIBA;COMPLEXO HOSPITAL DE CLINICAS; 559
SP;SAO PAULO;HOSPITAL DO CORACAO; 558
MA;SAO LUIS;HOSPITAL SAO DOMINGOS; 556
SP;BARUERI;VIGILANCIA EPIDEMIOLOGICA; 556
PR;CURITIBA;COMPLEXO HOSPITALAR DO TRABALHADOR; 547
PE;RECIFE;HOSPITAL DE CAMPANHA DO RECIFE HPR II COELHOS; 545
SP;SAO PAULO;HOSP MUN TIDE SETUBAL; 537
SP;SAO PAULO;HOSPITAL GERAL DE PEDREIRA; 537
PE;RECIFE;HOSPITAL AGAMENON MAGALHAES; 534
RO;PORTO VELHO;CEMETRON PORTO VELHO; 531
SP;SAO PAULO;HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL; 529
PR;CURITIBA;HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE; 525
SP;SAO PAULO;HOSPITAL ALVORADA MOEMA; 525
BA;SALVADOR;HOSPITAL GERAL ERNESTO SIMOES FILHO; 518
RJ;MACAE;PRONTO SOCORRO MUNICIPAL; 517
PB;CAMPINA GRANDE;HOSPITAL MUNICIPAL PEDRO I COVID 19; 514
SP;SAO PAULO;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO; 514
SP;SAO PAULO;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP; 513
MA;IMPERATRIZ;HOSPITAL MACRORREGIONAL DRA RUTH NOLETO; 509
SP;SOROCABA;UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA; 504
PE;RECIFE;SECRETARIA DE SAUDE DO ESTADO DE PERNAMBUCO; 502
SP;PIRACICABA;HOSPITAL REGIONAL DE PIRACICABA; 495
RJ;VOLTA REDONDA;SECRETARIA MUNICIPAL DE SAUDE DE VOLTA REDONDA; 492
SP;SAO PAULO;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO; 491
BA;SALVADOR;HOSPITAL DO SUBURBIO; 483
RJ;ANGRA DOS REIS;HOSPITAL E MATERNIDADE CODRATO DE VILHENA; 483
DF;BRASILIA;HRSM; 481
CE;QUIXERAMOBIM;HOSPITAL REGIONAL DO SERTAO CENTRAL; 476
SP;SAO JOSE DOS CAMPOS;HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE; 475
SP;GUARULHOS;HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO; 474
PA;MARABA;HOSPITAL MUNICIPAL DE MARABA; 473
RN;NATAL;HOSPITAL DE CAMPANHA COVID 19 SMS NATAL RN; 471
PE;RECIFE;HOSPITAL DOS SERVIDORES DO ESTADO PERNAMBUCO HSE; 470
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL ROCHA FARIA AP 52; 470
SP;SAO PAULO;HOSPITAL LEFORTE LIBERDADE; 468
RS;PASSO FUNDO;HOSPITAL SAO VICENTE DE PAULO; 460
SP;OSASCO;HOSPITAL CRUZEIRO DO SUL; 454
GO;APARECIDA DE GOIANIA;HOSPITAL GARAVELO; 450
BA;SALVADOR;HOSPITAL PORTUGUES; 448
MA;SAO LUIS;HOSPITAL DE REF EST DE ALTA COMPLEXIDADE DR CARLOS MACIEIRA; 448
SP;SAO PAULO;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO; 443
SP;SANTOS;HOSPITAL ANA COSTA DE SANTOS; 442
AM;MANAUS;HOSPITAL E PRONTO SOCORRO DR ARISTOTELES PLATAO B DE ARAUJO; 438
AM;MANAUS;HOSPITAL DE CAMPANHA COVID 19 GILBERTO NOVAES; 437
MG;IPATINGA;HOSPITAL MARCIO CUNHA; 437
SP;SAO PAULO;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO; 437
SP;SAO PAULO;HOSPITAL VITORIA; 436
CE;FORTALEZA;HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES; 435
PE;RECIFE;US 141 SECRETARIA MUNICIPAL DE SAUDE DO RECIFE; 433
SP;SAO PAULO;HOSPITAL SAMARITANO PAULISTA; 433
ES;VITORIA;HOSPITAL UNIMED VITORIA HU; 432
SP;RIBEIRAO PRETO;HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO; 432
SP;SAO PAULO;HOSP MUN CARMEN PRUDENTE; 432
RJ;RIO DE JANEIRO;HOSPITAL CENTRAL DA POLICIA MILITAR DO ESTADO DO RIO DE JANE; 430
SP;SAO PAULO;SAO LUIZ UNIDADE ITAIM; 430
SP;SAO PAULO;HOSP MUN VER JOSE STOROPOLLI; 429
SP;SAO PAULO;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO; 427
CE;FORTALEZA;IJF INSTITUTO DR JOSE FROTA CENTRAL; 424
RJ;RIO DE JANEIRO;HOSPITAL COPA DOR; 423
PA;BELEM;HOSPITAL ADVENTISTA DE BELEM; 421
SP;SAO PAULO;HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL; 416
MG;BELO HORIZONTE;HOSPITAL UNIMED UNIDADE CONTORNO; 412
SP;ITAPEVI;PRONTO SOCORRO MUNICIPAL; 411
SP;SAO PAULO;HOSP MUN PROF DR WALDOMIRO DE PAULA; 408
RS;PORTO ALEGRE;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE; 407
PI;TERESINA;PRONTOMED ADULTO; 406
SP;SAO PAULO;HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU; 406
PA;BELEM;SESMA; 405
RJ;DUQUE DE CAXIAS;UPA PARQUE BEIRA MAR; 403
MG;GOVERNADOR VALADARES;HOSPITAL MUNICIPAL; 402
PR;LONDRINA;HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA; 399
RJ;RIO DE JANEIRO;SESDEC RJ HOSPITAL ESTADUAL GETULIO VARGAS; 398
SP;CAMPINAS;HOSPITAL E MATERNIDADE CELSO PIERRO; 393
MG;BELO HORIZONTE;SANTA CASA DE BELO HORIZONTE; 391
PI;PARNAIBA;HOSPITAL ESTADUAL DIRCEU ARCOVERDE; 388
SP;DIADEMA;HOSPITAL MUNICIPAL DE DIADEMA HMD; 383
DF;BRASILIA;HOSPITAL ANCHIETA; 382
RJ;RIO DE JANEIRO;SMS HOSPITAL MUNICIPAL PEDRO II AP 53; 382
DF;BRASILIA;HOSPITAL SANTA LUCIA; 380
SP;BARRETOS;FUNDACAO PIO XII BARRETOS; 379
SP;CAMPINAS;HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS; 378
MT;SAPEZAL;HOSPITAL SANTA MARCELINA DE SAPEZAL; 377
PE;RECIFE;US 444 HOSPITAL DA MULHER DO RECIFE DRA MERCES PONTES CUNHA; 377
DF;BRASILIA;HOSPITAL SANTA LUZIA; 376
RJ;RIO DE JANEIRO;SES RJ HOSPITAL ESTADUAL CARLOS CHAGAS; 376
SP;SAO PAULO;HOSPITAL SAO CAMILO SANTANA; 375
SP;SAO PAULO;HOSPITAL SEPACO; 375
SP;COTIA;HOSPITAL REGIONAL DE COTIA; 374
SC;ITAJAI;SECRETARIA MUNICIPAL DE SAUDE DE ITAJAI; 373
SP;SAO PAULO;HOSP AVICCENA; 373
SP;SAO PAULO;HOSP DO SERV PUB MUNICIPAL HSPM; 371
SP;RIBEIRAO PRETO;HOSPITAL SAO FRANCISCO RIBEIRAO PRETO; 369
SP;MOGI DAS CRUZES;HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES; 365
DF;BRASILIA;HOSPITAL SANTA HELENA; 362
AC;RIO BRANCO;UPA 24 HORAS DO 2 DISTRITO; 361
MT;CAMPO NOVO DO PARECIS;CENTRO HOSPITALAR PARECIS EUCLIDES HORST CAMPO NOVO; 361
CE;FORTALEZA;HOSPITAL OTOCLINICA; 360
CE;FORTALEZA;HOSPITAL CURA DARS; 359
SP;SAO PAULO;HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA; 358
DF;BRASILIA;HOSPITAL SANTA MARTA; 357
DF;BRASILIA;HRT HOSPITAL REGIONAL DE TAGUATINGA; 355
SP;GUARULHOS;HOSPITAL CARLOS CHAGAS; 354
RJ;NITEROI;HOSPITAL ICARAI; 353
SC;CRICIUMA;HOSPITAL UNIMED CRICIUMA; 352
SP;SOROCABA;HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO; 352
RJ;RIO DE JANEIRO;HOSPITAL DE CAMPANHA COVID 19 LEBLON; 350
SP;SAO PAULO;HOSPITAL BOSQUE DA SAUDE; 350
PE;RECIFE;HOSPITAL GETULIO VARGAS; 348
SP;GUARULHOS;COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS; 348
SP;GUARULHOS;HOSP MUNICIPAL DE URGENCIAS HMU; 348
SP;SAO PAULO;HOSP MUN DR IGNACIO PROENCA DE GOUVEA; 348
BA;SALVADOR;HOSPITAL ESPANHOL; 347
SP;SAO BERNARDO DO CAMPO;HOSPITAL SAO BERNARDO S A; 347
CE;FORTALEZA;HOSPITAL UNICLINIC; 346
RS;PORTO ALEGRE;HOSPITAL MOINHOS DE VENTO; 346
MT;CUIABA;HOSPITAL SANTA ROSA; 345
SP;SAO PAULO;HOSP 9 DE JULHO; 345
SP;SAO PAULO;HOSPITAL DA LUZ 113; 345
SP;SAO PAULO;HOSPITAL SAMARITANO; 344
CE;SOBRAL;SANTA CASA DE MISERICORDIA DE SOBRAL; 343
PB;JOAO PESSOA;HOSPITAL UNIMED JOAO PESSOA; 342
SP;ITAQUAQUECETUBA;HOSPITAL GERAL DE ITAQUAQUECETUBA; 339
SP;OSASCO;HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO; 338
SP;PRESIDENTE PRUDENTE;SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT; 338
SP;SAO PAULO;HOSPITAL E MATERNIDADE METROPOLITANO; 337
RN;NATAL;HOSPITAL MUNICIPAL DE NATAL; 336
GO;APARECIDA DE GOIANIA;HOSPITAL MUNICIPAL DE APARECIDA DE GOIANIA HMAP; 335
BA;SALVADOR;HOSPITAL ALIANCA; 332
SP;SAO JOSE DO RIO PRETO;HOSPITAL INFANTE D HENRIQUE; 331
AM;MANAUS;HOSPITAL P S DR JOAO LUCIO P MACHADO; 330
RJ;RIO DE JANEIRO;UERJ HOSPITAL UNIV PEDRO ERNESTO; 328
RN;MOSSORO;HOSPITAL SAO LUIZ LTDA; 328
CE;FORTALEZA;HOSPITAL ANTONIO PRUDENTE; 327
RS;BENTO GONCALVES;HOSPITAL TACCHINI; 325
MG;BELO HORIZONTE;HOSPITAL METROPOLITANO DOUTOR CELIO DE CASTRO HMDCC; 323
RJ;RIO DE JANEIRO;SMS COORD DE EMERG REGIONAL CER ILHA DO GOV AP 31; 323
SP;CATANDUVA;HOSP ESCOLA EMILIO CARLOS CATANDUVA; 321
SP;CAMPINAS;CENTRO MEDICO DE CAMPINAS; 320
DF;BRASILIA;HOSPITAL MARIA AUXILIADORA; 318
PE;RECIFE;HOSPITAL DA RESTAURACAO; 318
SE;ARACAJU;HOSPITAL MUNICIPAL ZONA NORTE DR NESTOR PIVA; 316
PB;CAMPINA GRANDE;HOSPITAL REGIONAL DE EMERG TRAUMA DOM LUIZ GONZAGA FERNANDES; 315
SP;CAMPINAS;COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI; 314
SP;RIBEIRAO PRETO;SANTA CASA DE RIBEIRAO PRETO; 313
SP;SAO PAULO;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO; 311
BA;SALVADOR;HOSPITAL TEREZA DE LISIEUX; 309
MG;BELO HORIZONTE;UNIDADE DE PRONTO ATENDIMENTO BARREIRO; 309
SP;RIBEIRAO PRETO;HOSPITAL IMACULADA CONCEICAO RIBEIRAO PRETO; 308
SP;VOTUPORANGA;SANTA CASA DE VOTUPORANGA; 308
BA;JEQUIE;HOSPITAL GERAL PRADO VALADARES; 307
PI;TERESINA;UNIDADE DE PRONTO ATENDIMENTO 24 HORAS UPA RENASCENCA; 305
RJ;RIO DE JANEIRO;UNIMED RIO HOSPITAL BARRA DA TIJUCA; 304
RS;NOVO HAMBURGO;FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH; 303
BA;SALVADOR;HOSPITAL DA BAHIA; 302
PI;TERESINA;UNIDADE DE SAUDE BUENOS AIRES; 302
RJ;NOVA IGUACU;HGNI; 302
RJ;RIO DE JANEIRO;SMS COORD DE EMERGENCIA REGIONAL CER BARRA AP 40; 302
PR;CURITIBA;HOSPITAL ONIX; 301
PR;CURITIBA;HOSPITAL SANTA CASA DE CURITIBA; 301
CE;FORTALEZA;HGCC HOSPITAL GERAL DR CESAR CALS; 298
PE;CARUARU;SECRETARIA MUNICIPAL DE SAUDE DE CARUARU; 298
RJ;RIO DE JANEIRO;HOSPITAL EVANGELICO; 298
RO;PORTO VELHO;HOSPITAL DE BASE PORTO VELHO; 298
AL;ARAPIRACA;UNIDADE DE EMERGENCIA DR DANIEL HOULY; 297
MT;NOSSA SENHORA DO LIVRAMENTO;HOSPITAL E MATERNIDADE MUN PROFESSORA MARIA ARLINDA DA COSTA; 297
PB;JOAO PESSOA;HOSPITAL EDSON RAMALHO; 297
PE;RECIFE;HOSPITAL DE BOA VIAGEM; 295
RN;NATAL;HOSPITAL GISELDA TRIGUEIRO; 293
SP;GUARULHOS;COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I; 293
SP;RIBEIRAO PRETO;HOSPITAL UNIMED RIBEIRAO PRETO; 293
SP;ARACATUBA;SANTA CASA DE ARACATUBA HOSPITAL SAGRADO CORACAO DE JESUS; 292
DF;BRASILIA;HRSAM HOSPITAL REGIONAL DE SAMAMBAIA; 291
RJ;RIO DE JANEIRO;INI FIOCRUZ; 290
SP;SAO PAULO;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO; 289
SP;SAO PAULO;HOSPITAL NEXT BUTANTA; 289
SC;JOINVILLE;HOSPITAL MUNICIPAL SAO JOSE; 288
PB;JOAO PESSOA;COMPLEXO DE DOENCAS INFECTO CONTAGIOSAS CLEMENTINO FRAGA; 286
PR;CURITIBA;HOSPITAL MARCELINO CHAMPAGNAT; 283
SP;SAO PAULO;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP; 283
AM;MANAUS;HOSPITAL ADVENTISTA DE MANAUS; 282
CE;FORTALEZA;SERVICO DE VERIFICACAO DE OBITO SVO SESA; 282
SP;SAO PAULO;HOSP SAO LUIZ ANALIA FRANCO; 282
RJ;MACAE;HOSPITAL PUBLICO MUNICIPAL DE MACAE HPM; 280
SP;CAMPINAS;REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA; 279
SP;TABOAO DA SERRA;UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA; 279
SP;JUNDIAI;HOSPITAL PITANGUEIRAS; 278
SP;SAO PAULO;HOSP MUN JOSANIAS CASTANHA BRAGA; 278
SP;GUARULHOS;HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA; 276
SP;SAO PAULO;HOSPITAL PAULISTANO; 275
RS;PORTO ALEGRE;HOSPITAL SAO LUCAS DA PUCRS; 274
DF;BRASILIA;HRG; 272
PE;RECIFE;HOSPITAL DE CAMPANHA DO RECIFE HPR I AURORA; 272
RJ;NITEROI;NITEROI DOR; 272
SE;ARACAJU;SECRETARIA DE ESTADO DA SAUDE SEDE; 272
SP;OSASCO;HOSPITAL MUNICIPAL ANTONIO GIGLIO; 270
DF;BRASILIA;HOSPITAL BRASILIA; 268
PI;TERESINA;HOSPITAL GETULIO VARGAS; 268
RJ;ITABORAI;HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ; 268
PE;RECIFE;US 167 POLICLINICA E MATERNIDADE PROFESSOR BARROS LIMA; 267
PI;TERESINA;HOSPITAL DE CAMPANHA COVID 19 PADRE PEDRO BALZI; 267
MG;BETIM;UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO; 265
SP;SAO PAULO;HOSP MAT VIDAS; 265
SP;SAO PAULO;HOSPITAL SANTA CLARA; 265
SC;SAO JOSE;HOSPITAL REGIONAL DE SAO JOSE DRHOMERO MIRANDA GOMES; 264
MA;SAO LUIS;SECRETARIA MUNICIPAL DE SAUDE; 263
SE;ARACAJU;HOSPITAL SAO LUCAS; 262
SE;ARACAJU;REDE PRIMAVERA HOSPITAL PRIMAVERA; 262
SP;SAO PAULO;CENTRO MEDICO PMESP; 262
SP;SAO PAULO;HOSP EDMUNDO VASCONCELOS; 262
GO;GOIANIA;HOSPITAL E MATERNIDADE MUNICIPAL CELIA CAMARA; 261
PE;RECIFE;HOSPITAL ILHA DO LEITE; 261
SP;SAO JOSE DO RIO PRETO;HOSPITAL AUSTA SAO JOSE DO RIO PRETO; 260
RO;PORTO VELHO;HOSPITAL JOAO PAULO II PORTO VELHO; 259
SP;SAO PAULO;HOSP MUN DR BENEDICTO MONTENEGRO; 259
SP;SAO PAULO;HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35; 259
PE;RECIFE;HOSPITAL DE CAMPANHA DO RECIFE HPR IV AMAURY COUTINHO; 258
PR;CURITIBA;CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA; 257
RS;PASSO FUNDO;HOSPITAL DE CLINICAS DE PASSO FUNDO; 256
RS;PORTO ALEGRE;HOSPITAL MAE DE DEUS; 256
SP;MOGI DAS CRUZES;HOSPITAL IPIRANGA DE MOGI DAS CRUZES; 255
SC;BALNEARIO CAMBORIU;HOSPITAL UNIMED LITORAL; 254
SP;SAO PAULO;UPA PIRITUBA; 254
RJ;RIO DE JANEIRO;HOSPITAL DE CAMPANHA COVID 19 PARQUE DOS ATLETAS; 253
RJ;RIO DE JANEIRO;SMS RIO HOSPITAL MUNICIPAL SALGADO FILHO; 253
MG;POUSO ALEGRE;HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE; 252
RJ;RIO DE JANEIRO;HOSPITAL MUNICIPAL SOUZA AGUIAR; 252
SP;GUARULHOS;HOSPITAL DE CAMPANHA COVID 19 CENTRO DE COMBATE AO CORONA; 252
RJ;RIO DE JANEIRO;MS HOSPITAL FEDERAL CARDOSO FONTES; 251
SP;PIRACICABA;HOSPITAL UNIMED PIRACICABA; 251
MT;CUIABA;HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA; 250
SE;ARACAJU;HOSPITAL DE CIRURGIA; 250
SP;SAO JOSE DOS CAMPOS;HOSPITAL VIVALLE; 250
DF;BRASILIA;HFA; 249
PA;PARAUAPEBAS;HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES; 249
SP;CAMPINAS;HOSPITAL SAMARITANO DE CAMPINAS; 249
SP;RIBEIRAO PRETO;HOSPITAL SAO LUCAS RIBEIRANIA; 249
SP;SAO PAULO;HOSP STA CRUZ; 248
GO;AGUAS LINDAS DE GOIAS;HOSPITAL DE CAMPANHA PARA COVID 19 DE AGUAS LINDAS DE GOIAS; 247
PI;TERESINA;UNIDADE DE URGENCIA DE TERESINA PROF ZENON ROCHA HUT; 247
RJ;NITEROI;HOSPITAL MUNICIPAL CARLOS TORTELLY; 247
RJ;RIO DE JANEIRO;HOSPITAL VITORIA AMC; 247
SP;SAO PAULO;HOSPITAL LEFORTE; 247
CE;SOBRAL;HOSPITAL DR FRANCISCO ALVES; 246
MG;BELO HORIZONTE;UNIDADE DE PRONTO ATENDIMENTO NOROESTE II HOB; 246
SC;CHAPECO;HOSPITAL REGIONAL DO OESTE; 245
SP;SAO PAULO;HOSPITAL MUNICIPAL BELA VISTA; 245
PI;TERESINA;HOSPITAL UNIVERSITARIO DA UNIVERSIDADE FEDERAL DO PIAUI; 244
RJ;RIO DE JANEIRO;HOSPITAL OESTE DOR; 244
SP;PORTO FELIZ;SANTA CASA DE PORTO FELIZ; 244
SP;SAO PAULO;UNIDADE DE TRATAMENTO DE COVID 19 HD CAPELA DO SOCORRO; 244
PA;ANANINDEUA;DIRETORIA DE VIGILANCIA EMSAUDE DVES; 242
PE;RECIFE;HOSPITAL OTAVIO DE FREITAS; 242
SP;SAO PAULO;UPA III 26 DE AGOSTO; 242
RJ;CAMPOS DOS GOYTACAZES;SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS; 241
DF;BRASILIA;HOSPITAL DE BASE DO DISTRITO FEDERAL; 240
PE;CABO DE SANTO AGOSTINHO;HOSPITAL DOM HELDER CAMARA; 239
PE;CARUARU;HOSPITAL MESTRE VITALINO; 239
PE;PALMARES;HOSPITAL REGIONAL DE PALMARES DR SILVIO MAGALHAES; 239
RJ;RIO DE JANEIRO;HOSPITAL NAVAL MARCILIO DIAS; 239
MG;BELO HORIZONTE;HOSPITAL EDUARDO DE MENEZES; 238
SP;JAU;SANTA CASA DE JAU; 238
SP;SAO PAULO;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO; 238
SP;SANTO ANDRE;HOSPITAL E MATERNIDADE BRASIL; 237
PA;BELEM;HOSPITAL ABELARDO SANTOS; 236
PI;TERESINA;UNIDADE DE PRONTO ATENDIMENTO 24 HORAS UPA PROMORAR; 236
PE;RECIFE;HOSPITAL ESPERANCA S A; 235
RJ;PETROPOLIS;HOSPITAL SANTA TERESA; 234
